X,Y,Z,trialNumber,phaseNumber
-0.01799989,0.9581255,0.586,1,3
-0.01799989,0.9557033,0.586,1,3
-0.01799989,0.9520699,0.586,1,3
-0.01799989,0.9472255,0.586,1,3
-0.01799989,0.94117,0.586,1,3
-0.01799989,0.9339033,0.586,1,3
-0.01799989,0.9254255,0.586,1,3
-0.01799989,0.9157366,0.586,1,3
-0.01799989,0.9048366,0.586,1,3
-0.01799989,0.8927255,0.586,1,3
-0.01799989,0.8794032,0.586,1,3
-0.01799989,0.8648699,0.586,1,3
-0.01799989,0.8491254,0.586,1,3
-0.01799989,0.8321699,0.586,1,3
-0.01799989,0.8140032,0.586,1,3
-0.01799989,0.7946255,0.586,1,3
-0.01799989,0.7740366,0.586,1,3
-0.01799989,0.7522366,0.586,1,3
-0.01799989,0.7292255,0.586,1,3
-0.01799989,0.7050033,0.586,1,3
-0.01799989,0.67957,0.586,1,3
-0.01799989,0.6529255,0.586,1,3
-0.01799989,0.6250699,0.586,1,3
-0.01799989,0.5960032,0.586,1,3
-0.01799989,0.5657254,0.586,1,3
-0.01799989,0.5342366,0.586,1,3
-0.01799989,0.5015365,0.586,1,3
-0.01799989,0.4676254,0.586,1,3
-0.01799989,0.4325032,0.586,1,3
-0.01799989,0.3961699,0.586,1,3
-0.01799989,0.3586255,0.586,1,3
-0.01799989,0.3198699,0.586,1,3
-0.01799989,0.2799033,0.586,1,3
-0.01799989,0.2387255,0.586,1,3
-0.01799989,0.1963366,0.586,1,3
-0.01799989,0.1527366,0.586,1,3
-0.01799989,0.1079255,0.586,1,3
-0.01799989,0.06190327,0.586,1,3
0.01506546,0.9643486,0.5129644,2,3
0.01509044,0.9637183,0.5129644,2,3
0.01513916,0.9635916,0.5129644,2,3
0.01520595,0.9635655,0.5129644,2,3
0.01528901,0.9635593,0.5129644,2,3
0.01538694,0.9635571,0.5129644,2,3
0.01549849,0.9635558,0.5129644,2,3
0.01562241,0.9635547,0.5129644,2,3
0.01575723,0.963554,0.5129644,2,3
0.01590121,0.9635536,0.5129644,2,3
0.01605284,0.9635535,0.5129644,2,3
0.01621062,0.9635538,0.5129644,2,3
0.01637304,0.9635544,0.5129644,2,3
0.01653832,0.9635558,0.5129644,2,3
0.01670468,0.9635578,0.5129644,2,3
0.01687047,0.96356,0.5129644,2,3
0.01703432,0.9635624,0.5129644,2,3
0.0171954,0.9635643,0.5129644,2,3
0.01735318,0.9635657,0.5129644,2,3
0.01750815,0.9635656,0.5129644,2,3
0.01766083,0.9635648,0.5129644,2,3
0.01781213,0.9635633,0.5129644,2,3
0.01796275,0.9635617,0.5129644,2,3
