X,Y,Z,trialNumber,phaseNumber
0.1727299,0.9513531,0.5001644,1,3
0.172733,0.9511747,0.5001644,1,3
0.1727362,0.950973,0.5001644,1,3
0.1727397,0.950729,0.5001644,1,3
0.1727421,0.9505548,0.5001644,1,3
0.1727433,0.9504579,0.5001644,1,3
0.1727439,0.9504043,0.5001644,1,3
0.1727433,0.9504526,0.5001644,1,3
0.1727433,0.9504534,0.5001644,1,3
0.1727422,0.9505384,0.5001644,1,3
0.1727415,0.9506015,0.5001644,1,3
0.1727409,0.9506437,0.5001644,1,3
0.1727406,0.9506637,0.5001644,1,3
0.1727393,0.9507604,0.5001644,1,3
0.1727363,0.9509679,0.5001644,1,3
0.1727333,0.9511571,0.5001644,1,3
0.1727315,0.9512619,0.5001644,1,3
0.1727294,0.9513814,0.5001644,1,3
0.1727264,0.9515451,0.5001644,1,3
0.1727248,0.9516286,0.5001644,1,3
0.1727261,0.9515636,0.5001644,1,3
0.1727292,0.9513935,0.5001644,1,3
0.1727312,0.9512827,0.5001644,1,3
0.1727329,0.9511764,0.5001644,1,3
0.1727351,0.9510434,0.5001644,1,3
0.1727359,0.9509922,0.5001644,1,3
0.1727376,0.9508804,0.5001644,1,3
0.172741,0.9506369,0.5001644,1,3
0.172744,0.9503951,0.5001644,1,3
0.1727458,0.9502348,0.5001644,1,3
0.1727479,0.950026,0.5001644,1,3
0.1727491,0.9498816,0.5001644,1,3
0.1727502,0.9497499,0.5001644,1,3
0.1727508,0.949665,0.5001644,1,3
0.1727512,0.949597,0.5001644,1,3
0.1727517,0.9495227,0.5001644,1,3
0.1727521,0.9494515,0.5001644,1,3
0.1727527,0.9493381,0.5001644,1,3
0.1534216,0.956119,0.5001644,2,3
0.1534212,0.9561276,0.5001644,2,3
0.1534204,0.956141,0.5001644,2,3
0.153416,0.9562219,0.5001644,2,3
0.1534089,0.9563478,0.5001644,2,3
0.1534006,0.9564946,0.5001644,2,3
0.1533927,0.9566306,0.5001644,2,3
0.1533827,0.9568011,0.5001644,2,3
0.1533705,0.9570026,0.5001644,2,3
0.1533601,0.9571711,0.5001644,2,3
0.1533493,0.9573439,0.5001644,2,3
0.1533385,0.9575123,0.5001644,2,3
0.1533248,0.9577209,0.5001644,2,3
0.1533111,0.9579245,0.5001644,2,3
0.1532987,0.9581068,0.5001644,2,3
0.1532875,0.9582667,0.5001644,2,3
0.1532808,0.9583628,0.5001644,2,3
0.1532767,0.9584193,0.5001644,2,3
0.1532802,0.9583704,0.5001644,2,3
0.153285,0.9583029,0.5001644,2,3
0.1532918,0.9582058,0.5001644,2,3
0.1532979,0.9581188,0.5001644,2,3
0.1533009,0.9580755,0.5001644,2,3
0.1533028,0.9580462,0.5001644,2,3
0.153308,0.9579709,0.5001644,2,3
0.1533102,0.9579384,0.5001644,2,3
0.1533084,0.9579647,0.5001644,2,3
0.1533027,0.9580486,0.5001644,2,3
0.1532981,0.958115,0.5001644,2,3
0.1532739,0.9584592,0.5001644,2,3
0.1532575,0.9586855,0.5001644,2,3
0.1532429,0.9588834,0.5001644,2,3
0.1532346,0.958993,0.5001644,2,3
0.1532265,0.9591002,0.5001644,2,3
0.1532234,0.9591409,0.5001644,2,3
0.1532222,0.959156,0.5001644,2,3
0.1532296,0.9590597,0.5001644,2,3
0.1532392,0.9589323,0.5001644,2,3
0.1532452,0.9588523,0.5001644,2,3
0.1532581,0.9586775,0.5001644,2,3
0.1532713,0.9584954,0.5001644,2,3
0.1532907,0.9582217,0.5001644,2,3
0.1533114,0.9579214,0.5001644,2,3
0.1533326,0.9576029,0.5001644,2,3
0.1533519,0.9573018,0.5001644,2,3
0.1533743,0.9569411,0.5001644,2,3
0.1533937,0.956613,0.5001644,2,3
0.1534145,0.9562479,0.5001644,2,3
0.1534313,0.9559398,0.5001644,2,3
0.1534504,0.955573,0.5001644,2,3
0.1534684,0.9552082,0.5001644,2,3
0.1534804,0.9549524,0.5001644,2,3
0.1534934,0.9546653,0.5001644,2,3
