X,Y,Z,trialNumber,phaseNumber
0.2629906,0.9548156,0.5123643,1,3
0.2629975,0.9545351,0.5123643,1,3
0.263005,0.954218,0.5123643,1,3
0.2630134,0.9538342,0.5123643,1,3
0.2630191,0.9535603,0.5123643,1,3
0.2630221,0.953408,0.5123643,1,3
0.2630237,0.9533237,0.5123643,1,3
0.2630222,0.9533995,0.5123643,1,3
0.2630222,0.9534009,0.5123643,1,3
0.2630196,0.9535345,0.5123643,1,3
0.2630176,0.9536337,0.5123643,1,3
0.2630162,0.9537001,0.5123643,1,3
0.2630156,0.9537316,0.5123643,1,3
0.2630123,0.9538836,0.5123643,1,3
0.2630051,0.9542099,0.5123643,1,3
0.2629982,0.9545074,0.5123643,1,3
0.2629942,0.9546722,0.5123643,1,3
0.2629895,0.9548602,0.5123643,1,3
0.2629828,0.9551175,0.5123643,1,3
0.2629793,0.9552488,0.5123643,1,3
0.262982,0.9551467,0.5123643,1,3
0.262989,0.9548792,0.5123643,1,3
0.2629934,0.9547049,0.5123643,1,3
0.2629974,0.9545379,0.5123643,1,3
0.2630024,0.9543287,0.5123643,1,3
0.2630042,0.9542482,0.5123643,1,3
0.2630082,0.9540723,0.5123643,1,3
0.2630165,0.9536893,0.5123643,1,3
0.263024,0.9533093,0.5123643,1,3
0.2630287,0.953057,0.5123643,1,3
0.2630345,0.9527287,0.5123643,1,3
0.2630382,0.9525015,0.5123643,1,3
0.2630414,0.9522947,0.5123643,1,3
0.2630433,0.952161,0.5123643,1,3
0.2630449,0.9520541,0.5123643,1,3
0.2630465,0.9519373,0.5123643,1,3
0.263048,0.9518253,0.5123643,1,3
0.2630503,0.951647,0.5123643,1,3
0.2630644,0.9469685,0.5123643,2,3
0.2630645,0.946984,0.5123643,2,3
0.2630647,0.9470079,0.5123643,2,3
0.2630655,0.947153,0.5123643,2,3
0.2630667,0.9473787,0.5123643,2,3
0.2630678,0.9476418,0.5123643,2,3
0.2630686,0.9478856,0.5123643,2,3
0.2630692,0.9481913,0.5123643,2,3
0.2630695,0.9485527,0.5123643,2,3
0.2630693,0.9488548,0.5123643,2,3
0.2630687,0.9491646,0.5123643,2,3
0.2630678,0.9494666,0.5123643,2,3
0.2630662,0.9498409,0.5123643,2,3
0.263064,0.9502062,0.5123643,2,3
0.2630616,0.9505332,0.5123643,2,3
0.2630592,0.9508201,0.5123643,2,3
0.2630576,0.9509923,0.5123643,2,3
0.2630566,0.9510938,0.5123643,2,3
0.2630574,0.9510062,0.5123643,2,3
0.2630586,0.950885,0.5123643,2,3
0.2630602,0.9507109,0.5123643,2,3
0.2630615,0.9505546,0.5123643,2,3
0.2630621,0.950477,0.5123643,2,3
0.2630625,0.9504244,0.5123643,2,3
0.2630635,0.9502894,0.5123643,2,3
0.2630638,0.950231,0.5123643,2,3
0.2630635,0.9502782,0.5123643,2,3
0.2630625,0.9504287,0.5123643,2,3
0.2630615,0.9505478,0.5123643,2,3
0.2630558,0.9511654,0.5123643,2,3
0.2630512,0.9515713,0.5123643,2,3
0.2630467,0.9519266,0.5123643,2,3
0.2630439,0.9521233,0.5123643,2,3
0.2630411,0.9523158,0.5123643,2,3
0.2630399,0.9523888,0.5123643,2,3
0.2630395,0.9524158,0.5123643,2,3
0.2630422,0.952243,0.5123643,2,3
0.2630454,0.9520143,0.5123643,2,3
0.2630474,0.9518708,0.5123643,2,3
0.2630514,0.951557,0.5123643,2,3
0.2630551,0.9512303,0.5123643,2,3
0.2630599,0.9507393,0.5123643,2,3
0.2630641,0.9502005,0.5123643,2,3
0.2630672,0.9496292,0.5123643,2,3
0.2630689,0.9490892,0.5123643,2,3
0.2630695,0.9484423,0.5123643,2,3
0.2630685,0.947854,0.5123643,2,3
0.2630658,0.9471996,0.5123643,2,3
0.2630621,0.9466473,0.5123643,2,3
0.2630562,0.9459898,0.5123643,2,3
