X,Y,Z,trialNumber,phaseNumber
0.01961619,0.9534411,0.5129644,1,3
0.02413678,0.9535108,0.5129644,1,3
0.02879223,0.9535704,0.5129644,1,3
0.03338376,0.9536122,0.5129644,1,3
0.03805563,0.953651,0.5129644,1,3
0.04271486,0.9536929,0.5129644,1,3
0.04770949,0.9537419,0.5129644,1,3
0.05196291,0.9538029,0.5129644,1,3
0.05649021,0.9538575,0.5129644,1,3
0.06094679,0.9539359,0.5129644,1,3
0.06555247,0.9540138,0.5129644,1,3
0.07006976,0.9540871,0.5129644,1,3
0.07463929,0.9541551,0.5129644,1,3
0.0791657,0.9542549,0.5129644,1,3
0.08377805,0.9544097,0.5129644,1,3
0.08825386,0.954566,0.5129644,1,3
0.09297836,0.9546957,0.5129644,1,3
0.09719521,0.9548303,0.5129644,1,3
0.1018305,0.9550035,0.5129644,1,3
0.1062046,0.9551346,0.5129644,1,3
0.11071,0.9551829,0.5129644,1,3
0.1151496,0.9551593,0.5129644,1,3
0.1196248,0.9551662,0.5129644,1,3
0.1241263,0.9551704,0.5129644,1,3
0.1284748,0.9551468,0.5129644,1,3
0.1328713,0.9551778,0.5129644,1,3
0.1374555,0.9551616,0.5129644,1,3
0.1418138,0.9550298,0.5129644,1,3
0.1460536,0.9548848,0.5129644,1,3
0.150443,0.9547981,0.5129644,1,3
0.1548615,0.9546599,0.5129644,1,3
0.1591582,0.9545678,0.5129644,1,3
0.163398,0.9544795,0.5129644,1,3
0.1676851,0.9544296,0.5129644,1,3
0.1718431,0.9543911,0.5129644,1,3
0.1760887,0.9543432,0.5129644,1,3
0.1803244,0.9542944,0.5129644,1,3
0.1844492,0.954196,0.5129644,1,3
0.01965845,0.9532962,0.5129644,2,3
0.02426553,0.9532326,0.5129644,2,3
0.02887952,0.9531699,0.5129644,2,3
0.03349859,0.9531171,0.5129644,2,3
0.03805971,0.9530778,0.5129644,2,3
0.04292455,0.9530476,0.5129644,2,3
0.04728314,0.9530303,0.5129644,2,3
0.05188769,0.9530286,0.5129644,2,3
0.05637109,0.9530483,0.5129644,2,3
0.06102082,0.9530692,0.5129644,2,3
0.06553859,0.9531037,0.5129644,2,3
0.07008716,0.9531476,0.5129644,2,3
0.07601345,0.9532167,0.5129644,2,3
0.07920098,0.9533037,0.5129644,2,3
0.08375204,0.9533902,0.5129644,2,3
0.08820909,0.9534769,0.5129644,2,3
0.09278077,0.9535382,0.5129644,2,3
0.09726936,0.9535822,0.5129644,2,3
0.1017602,0.9535637,0.5129644,2,3
0.1062681,0.9535297,0.5129644,2,3
0.1108735,0.9534709,0.5129644,2,3
0.1152709,0.953413,0.5129644,2,3
0.1197249,0.9533826,0.5129644,2,3
0.1241608,0.9533604,0.5129644,2,3
0.1285868,0.9532986,0.5129644,2,3
0.1329895,0.9532685,0.5129644,2,3
0.137384,0.9532884,0.5129644,2,3
0.1417547,0.9533627,0.5129644,2,3
0.1461051,0.9534258,0.5129644,2,3
0.1505629,0.9537655,0.5129644,2,3
0.1547654,0.9540068,0.5129644,2,3
0.159039,0.9542328,0.5129644,2,3
0.1632739,0.9543762,0.5129644,2,3
0.1675279,0.9545237,0.5129644,2,3
0.1718199,0.9546026,0.5129644,2,3
0.1761022,0.9546541,0.5129644,2,3
0.1802025,0.954572,0.5129644,2,3
0.1844221,0.9544467,0.5129644,2,3
0.1887325,0.9543738,0.5129644,2,3
0.192738,0.9541724,0.5129644,2,3
0.1968485,0.9539516,0.5129644,2,3
0.2009404,0.9535968,0.5129644,2,3
0.2051027,0.9531894,0.5129644,2,3
0.2091187,0.9527388,0.5129644,2,3
0.2132123,0.9522942,0.5129644,2,3
0.2171409,0.9517461,0.5129644,2,3
0.2211346,0.9512255,0.5129644,2,3
0.2250106,0.9506314,0.5129644,2,3
0.2289551,0.9501038,0.5129644,2,3
0.2328385,0.9494674,0.5129644,2,3
0.2367142,0.948814,0.5129644,2,3
0.2404951,0.9483197,0.5129644,2,3
0.2443316,0.9477584,0.5129644,2,3
0.2480351,0.9471455,0.5129644,2,3
0.2517437,0.946288,0.5129644,2,3
0.2555073,0.945365,0.5129644,2,3
0.2591526,0.9443048,0.5129644,2,3
0.26271,0.9431353,0.5129644,2,3
0.2662872,0.9418384,0.5129644,2,3
0.2698531,0.9405169,0.5129644,2,3
0.273262,0.9392097,0.5129644,2,3
0.2767757,0.9378422,0.5129644,2,3
0.2802022,0.9365801,0.5129644,2,3
0.2837748,0.9354119,0.5129644,2,3
0.2869024,0.934296,0.5129644,2,3
0.2902214,0.9331945,0.5129644,2,3
0.2935129,0.9320154,0.5129644,2,3
0.2967059,0.9307667,0.5129644,2,3
0.299979,0.9294342,0.5129644,2,3
0.3030608,0.9280864,0.5129644,2,3
0.3061261,0.926742,0.5129644,2,3
0.3091865,0.9254251,0.5129644,2,3
0.3121654,0.9241053,0.5129644,2,3
0.3151414,0.9228922,0.5129644,2,3
0.3180662,0.9218157,0.5129644,2,3
0.3209277,0.9210042,0.5129644,2,3
0.3237647,0.920386,0.5129644,2,3
0.3266813,0.9198901,0.5129644,2,3
0.3295112,0.919667,0.5129644,2,3
0.3322542,0.919403,0.5129644,2,3
0.3350374,0.9192361,0.5129644,2,3
0.3377351,0.9190897,0.5129644,2,3
0.3403798,0.9189987,0.5129644,2,3
0.3430555,0.9190306,0.5129644,2,3
0.3457796,0.9192406,0.5129644,2,3
0.3482724,0.9196622,0.5129644,2,3
0.3508292,0.9201614,0.5129644,2,3
0.3533666,0.9208207,0.5129644,2,3
0.3559002,0.9214895,0.5129644,2,3
0.3582895,0.9222487,0.5129644,2,3
0.3606738,0.9232392,0.5129644,2,3
0.3630494,0.9242982,0.5129644,2,3
0.3654184,0.9257176,0.5129644,2,3
0.3676568,0.9271339,0.5129644,2,3
0.3698886,0.9285685,0.5129644,2,3
0.372092,0.9301122,0.5129644,2,3
0.374179,0.93164,0.5129644,2,3
0.3762676,0.9332997,0.5129644,2,3
0.3782747,0.9351591,0.5129644,2,3
0.3802554,0.9372866,0.5129644,2,3
0.3821786,0.9398446,0.5129644,2,3
0.3840354,0.9428735,0.5129644,2,3
0.3858257,0.9457395,0.5129644,2,3
0.3875304,0.9495118,0.5129644,2,3
0.3891607,0.9531292,0.5129644,2,3
0.3907157,0.9568195,0.5129644,2,3
0.3921788,0.9608564,0.5129644,2,3
0.3935117,0.9652196,0.5129644,2,3
0.394722,0.9698974,0.5129644,2,3
0.3958079,0.9749093,0.5129644,2,3
0.3967801,0.9801638,0.5129644,2,3
0.3976611,0.9852136,0.5129644,2,3
0.3984755,0.9897398,0.5129644,2,3
0.3993402,0.9943541,0.5129644,2,3
0.3998414,0.9982412,0.5129644,2,3
0.4004197,1.002109,0.5129644,2,3
0.4009734,1.005787,0.5129644,2,3
0.401388,1.009278,0.5129644,2,3
0.401871,1.012254,0.5129644,2,3
0.4024432,1.014445,0.5129644,2,3
0.40302,1.0159,0.5129644,2,3
0.403575,1.017284,0.5129644,2,3
0.4041724,1.018085,0.5129644,2,3
0.4049143,1.017844,0.5129644,2,3
0.4057838,1.016458,0.5129644,2,3
0.4068023,1.01497,0.5129644,2,3
0.4074197,1.013597,0.5129644,2,3
0.4080296,1.012672,0.5129644,2,3
0.4084446,1.012707,0.5129644,2,3
0.4087724,1.012928,0.5129644,2,3
0.4089724,1.013636,0.5129644,2,3
0.4091172,1.014387,0.5129644,2,3
0.409242,1.014923,0.5129644,2,3
0.4093173,1.01537,0.5129644,2,3
0.4093618,1.015722,0.5129644,2,3
0.409499,1.015203,0.5129644,2,3
0.4095046,1.015147,0.5129644,2,3
0.4092949,1.016034,0.5129644,2,3
0.4089162,1.017586,0.5129644,2,3
0.4085072,1.018952,0.5129644,2,3
0.4083,1.018896,0.5129644,2,3
0.4082069,1.017887,0.5129644,2,3
0.4081303,1.016418,0.5129644,2,3
0.4080359,1.014754,0.5129644,2,3
0.4078531,1.013251,0.5129644,2,3
0.4076475,1.011522,0.5129644,2,3
0.4074152,1.009436,0.5129644,2,3
0.40716,1.007277,0.5129644,2,3
0.4070342,1.003727,0.5129644,2,3
0.4068012,1.000341,0.5129644,2,3
0.4064433,0.9973297,0.5129644,2,3
0.4059637,0.9945258,0.5129644,2,3
0.4054229,0.9918731,0.5129644,2,3
0.4048021,0.9892515,0.5129644,2,3
0.4041091,0.9867084,0.5129644,2,3
0.4033383,0.9842316,0.5129644,2,3
0.4024609,0.9817653,0.5129644,2,3
0.4015793,0.979068,0.5129644,2,3
0.4006795,0.9761794,0.5129644,2,3
0.3996462,0.9733356,0.5129644,2,3
0.398521,0.9707733,0.5129644,2,3
0.3973094,0.9683102,0.5129644,2,3
0.3961036,0.9661316,0.5129644,2,3
0.3947686,0.9640062,0.5129644,2,3
0.3933802,0.962052,0.5129644,2,3
0.3919508,0.9600468,0.5129644,2,3
0.390421,0.958172,0.5129644,2,3
0.3888891,0.9567822,0.5129644,2,3
0.3871745,0.9562716,0.5129644,2,3
0.3855253,0.9564549,0.5129644,2,3
0.3837226,0.9568866,0.5129644,2,3
0.3819225,0.9574843,0.5129644,2,3
0.3800759,0.9577973,0.5129644,2,3
0.3781259,0.9583544,0.5129644,2,3
0.3760719,0.9585333,0.5129644,2,3
0.3741639,0.9587843,0.5129644,2,3
0.3720363,0.9594011,0.5129644,2,3
0.3699459,0.961349,0.5129644,2,3
0.3676518,0.9632288,0.5129644,2,3
0.3655034,0.9633602,0.5129644,2,3
0.3635156,0.9561495,0.5129644,2,3
0.3610299,0.9348754,0.5129644,2,3
0.3560678,0.9114493,0.5129644,2,3
0.3532488,0.9012141,0.5129644,2,3
0.3508562,0.9013599,0.5129644,2,3
0.3485748,0.9030857,0.5129644,2,3
0.3460885,0.9032536,0.5129644,2,3
0.3432633,0.9012874,0.5129644,2,3
0.3400664,0.897671,0.5129644,2,3
0.3368967,0.8942623,0.5129644,2,3
0.3336821,0.8915844,0.5129644,2,3
0.3304617,0.8894004,0.5129644,2,3
0.3272546,0.88779,0.5129644,2,3
0.324153,0.8859899,0.5129644,2,3
0.3209023,0.8845615,0.5129644,2,3
0.317609,0.882823,0.5129644,2,3
0.314184,0.8812375,0.5129644,2,3
0.3107281,0.8795696,0.5129644,2,3
0.3074591,0.8785077,0.5129644,2,3
0.3040563,0.8775786,0.5129644,2,3
0.3005432,0.8765259,0.5129644,2,3
0.2970759,0.8754898,0.5129644,2,3
0.2935213,0.8746115,0.5129644,2,3
0.2900439,0.8738793,0.5129644,2,3
0.2865173,0.8737375,0.5129644,2,3
0.2834162,0.8742611,0.5129644,2,3
0.2798657,0.8741194,0.5129644,2,3
0.2764178,0.8740101,0.5129644,2,3
0.2728645,0.8739325,0.5129644,2,3
0.2675082,0.8684706,0.5129644,2,3
0.2618442,0.862281,0.5129644,2,3
0.2566298,0.8580637,0.5129644,2,3
0.250913,0.8533252,0.5129644,2,3
0.2452572,0.8489091,0.5129644,2,3
0.2383329,0.8424059,0.5129644,2,3
0.2311847,0.8362591,0.5129644,2,3
0.2254159,0.8331345,0.5129644,2,3
0.2197053,0.8305149,0.5129644,2,3
0.2128285,0.8262842,0.5129644,2,3
