time,trialNumber,phaseNumber
5.020165,1,3
5.031056,1,3
5.042274,1,3
5.053337,1,3
5.064606,1,3
5.075857,1,3
5.087933,1,3
5.098233,1,3
5.109204,1,3
5.120024,1,3
5.131218,1,3
5.142212,1,3
5.153349,1,3
5.164407,1,3
5.175706,1,3
5.186692,1,3
5.198306,1,3
5.208698,1,3
5.220153,1,3
5.230983,1,3
5.242152,1,3
5.253179,1,3
5.264333,1,3
5.275588,1,3
5.286493,1,3
5.297565,1,3
5.309144,1,3
5.32018,1,3
5.330956,1,3
5.342167,1,3
5.353495,1,3
5.364564,1,3
5.375536,1,3
5.386686,1,3
5.397553,1,3
5.408703,1,3
5.419884,1,3
5.430824,1,3
3.020528,2,3
3.031641,2,3
3.042774,2,3
3.053929,2,3
3.064954,2,3
3.076721,2,3
3.087273,2,3
3.098432,2,3
3.109311,2,3
3.120605,2,3
3.131593,2,3
3.142672,2,3
3.157132,2,3
3.164931,2,3
3.176076,2,3
3.187011,2,3
3.198245,2,3
3.209297,2,3
3.220372,2,3
3.231516,2,3
3.242929,2,3
3.25386,2,3
3.264967,2,3
3.276065,2,3
3.28717,2,3
3.298259,2,3
3.309371,2,3
3.320469,2,3
3.331556,2,3
3.34299,2,3
3.353806,2,3
3.364848,2,3
3.375831,2,3
3.386913,2,3
3.398141,2,3
3.409396,2,3
3.420215,2,3
3.431402,2,3
3.4429,2,3
3.453632,2,3
3.464708,2,3
3.475791,2,3
3.487133,2,3
3.498145,2,3
3.509447,2,3
3.520363,2,3
3.531541,2,3
3.542466,2,3
3.55367,2,3
3.564784,2,3
3.575965,2,3
3.586961,2,3
3.59821,2,3
3.609162,2,3
3.620231,2,3
3.63157,2,3
3.642667,2,3
3.653613,2,3
3.664744,2,3
3.675965,2,3
3.686816,2,3
3.698131,2,3
3.709283,2,3
3.721026,2,3
3.731441,2,3
3.742604,2,3
3.753825,2,3
3.764867,2,3
3.776343,2,3
3.787314,2,3
3.798373,2,3
3.80956,2,3
3.820611,2,3
3.831775,2,3
3.842866,2,3
3.853789,2,3
3.864707,2,3
3.876042,2,3
3.887111,2,3
3.898015,2,3
3.909209,2,3
3.920224,2,3
3.931174,2,3
3.942388,2,3
3.953935,2,3
3.964599,2,3
3.975707,2,3
3.986878,2,3
3.99825,2,3
4.009143,2,3
4.020154,2,3
4.031341,2,3
4.042632,2,3
4.053538,2,3
4.064677,2,3
4.075925,2,3
4.086846,2,3
4.098046,2,3
4.109063,2,3
4.120215,2,3
4.131331,2,3
4.142406,2,3
4.153535,2,3
4.16458,2,3
4.175698,2,3
4.186891,2,3
4.198123,2,3
4.209186,2,3
4.220199,2,3
4.231246,2,3
4.242461,2,3
4.253772,2,3
4.265025,2,3
4.277831,2,3
4.287307,2,3
4.298314,2,3
4.309699,2,3
4.320168,2,3
4.331347,2,3
4.342902,2,3
4.353702,2,3
4.364797,2,3
4.375813,2,3
4.387023,2,3
4.397897,2,3
4.412568,2,3
4.420808,2,3
4.431481,2,3
4.442498,2,3
4.453387,2,3
4.464417,2,3
4.47573,2,3
4.4871,2,3
4.497815,2,3
4.509021,2,3
4.520024,2,3
4.531137,2,3
4.542396,2,3
4.553313,2,3
4.564509,2,3
4.575509,2,3
4.586598,2,3
4.597913,2,3
4.608945,2,3
4.62004,2,3
4.631145,2,3
4.642673,2,3
4.653594,2,3
4.664618,2,3
4.675681,2,3
4.686711,2,3
4.698054,2,3
4.709027,2,3
4.720103,2,3
4.731135,2,3
4.742217,2,3
4.753701,2,3
4.764724,2,3
4.775403,2,3
4.786645,2,3
4.797915,2,3
4.809291,2,3
4.81997,2,3
4.831178,2,3
4.842271,2,3
4.853242,2,3
4.864478,2,3
4.875253,2,3
4.886777,2,3
4.89745,2,3
4.908761,2,3
4.919721,2,3
4.930713,2,3
4.941987,2,3
4.95362,2,3
4.964154,2,3
4.975575,2,3
4.986295,2,3
4.997788,2,3
5.008637,2,3
5.019645,2,3
5.03082,2,3
5.046111,2,3
5.053258,2,3
5.064219,2,3
5.075463,2,3
5.086461,2,3
5.097436,2,3
5.108651,2,3
5.119504,2,3
5.13071,2,3
5.142003,2,3
5.153415,2,3
5.164041,2,3
5.175307,2,3
5.186269,2,3
5.197619,2,3
5.208791,2,3
5.219598,2,3
5.230813,2,3
5.242124,2,3
5.253108,2,3
5.264354,2,3
5.275304,2,3
5.286794,2,3
5.297359,2,3
5.308654,2,3
5.319516,2,3
5.330611,2,3
5.342065,2,3
5.353004,2,3
5.363997,2,3
5.375331,2,3
5.38626,2,3
5.397407,2,3
5.408595,2,3
5.419543,2,3
5.430625,2,3
5.441739,2,3
5.452849,2,3
5.464051,2,3
5.475287,2,3
5.486213,2,3
5.497392,2,3
5.508323,2,3
5.51946,2,3
5.530658,2,3
5.541894,2,3
5.552823,2,3
5.564023,2,3
5.575412,2,3
5.586019,2,3
5.597255,2,3
5.608672,2,3
5.61975,2,3
5.631066,2,3
5.641881,2,3
5.653026,2,3
5.664302,2,3
5.675181,2,3
5.689647,2,3
5.697438,2,3
5.708739,2,3
5.719695,2,3
5.73072,2,3
5.741847,2,3
5.752894,2,3
5.764171,2,3
5.775384,2,3
5.786021,2,3
5.797303,2,3
5.808499,2,3
5.819421,2,3
5.831084,2,3
5.841804,2,3
5.852685,2,3
5.863708,2,3
5.875051,2,3
5.886306,2,3
5.897285,2,3
5.908622,2,3
5.919612,2,3
5.93069,2,3
5.941777,2,3
5.952682,2,3
5.963857,2,3
5.974761,2,3
5.98614,2,3
5.997436,2,3
6.008508,2,3
6.019252,2,3
6.030469,2,3
6.041457,2,3
6.052674,2,3
6.063735,2,3
6.074819,2,3
6.086024,2,3
6.097011,2,3
6.108315,2,3
6.119348,2,3
6.130445,2,3
6.141694,2,3
6.152648,2,3
6.163684,2,3
6.174609,2,3
6.185613,2,3
6.196887,2,3
6.208171,2,3
6.219068,2,3
6.230506,2,3
6.241885,2,3
6.252368,2,3
6.263442,2,3
6.274692,2,3
6.285911,2,3
6.297072,2,3
6.308255,2,3
6.319249,2,3
6.333861,2,3
6.341395,2,3
6.352653,2,3
6.363778,2,3
6.374808,2,3
6.38594,2,3
6.397016,2,3
6.40861,2,3
6.419244,2,3
6.430253,2,3
6.441403,2,3
6.452527,2,3
6.463662,2,3
6.474856,2,3
6.485766,2,3
6.496921,2,3
6.508061,2,3
6.519036,2,3
6.53,2,3
6.541125,2,3
6.552321,2,3
6.563355,2,3
6.575801,2,3
6.58566,2,3
6.59674,2,3
6.607913,2,3
6.619269,2,3
6.630038,2,3
6.64116,2,3
6.652297,2,3
6.663545,2,3
6.6743,2,3
6.685563,2,3
6.696734,2,3
6.708013,2,3
6.718844,2,3
6.729856,2,3
6.741118,2,3
6.752141,2,3
6.763423,2,3
6.774346,2,3
6.78548,2,3
6.796512,2,3
6.807445,2,3
6.818967,2,3
6.829864,2,3
6.840999,2,3
6.85196,2,3
6.863645,2,3
6.874764,2,3
6.885333,2,3
6.896527,2,3
6.907962,2,3
6.918946,2,3
6.930169,2,3
6.941373,2,3
6.952203,2,3
6.963527,2,3
6.978137,2,3
6.98569,2,3
6.997088,2,3
7.00837,2,3
7.019332,2,3
7.030452,2,3
7.041425,2,3
7.052506,2,3
7.063678,2,3
7.07462,2,3
7.085601,2,3
7.096738,2,3
7.108018,2,3
7.118939,2,3
7.129972,2,3
7.141051,2,3
7.152184,2,3
7.163352,2,3
7.174329,2,3
7.185451,2,3
7.196675,2,3
7.207669,2,3
7.218932,2,3
7.229863,2,3
7.2413,2,3
7.252059,2,3
7.263356,2,3
7.274468,2,3
7.285331,2,3
7.296878,2,3
7.307961,2,3
7.319137,2,3
7.329934,2,3
7.34125,2,3
7.352284,2,3
7.363498,2,3
7.374709,2,3
7.385325,2,3
7.396398,2,3
7.40764,2,3
7.418656,2,3
7.429791,2,3
7.440772,2,3
7.451993,2,3
7.463479,2,3
7.474008,2,3
7.485229,2,3
7.496409,2,3
3.021343,3,3
3.032253,3,3
3.043343,3,3
3.054451,3,3
3.065817,3,3
3.0767,3,3
3.087811,3,3
3.102362,3,3
3.110044,3,3
3.121058,3,3
3.132421,3,3
3.1434,3,3
3.154795,3,3
3.165567,3,3
3.176922,3,3
3.187668,3,3
3.198971,3,3
3.209972,3,3
3.221203,3,3
3.232292,3,3
3.243265,3,3
3.254532,3,3
3.265465,3,3
3.276611,3,3
3.28763,3,3
3.298691,3,3
3.309958,3,3
3.320942,3,3
3.332014,3,3
3.343237,3,3
3.354235,3,3
3.365267,3,3
3.376535,3,3
3.387594,3,3
3.398623,3,3
3.41008,3,3
3.429369,3,3
3.441433,3,3
3.459719,3,3
3.471693,3,3
3.485149,3,3
3.49646,3,3
3.507215,3,3
3.518332,3,3
3.529436,3,3
3.540602,3,3
3.551889,3,3
3.562988,3,3
3.574341,3,3
3.585495,3,3
3.596132,3,3
3.607468,3,3
3.618746,3,3
3.629736,3,3
3.640772,3,3
3.652073,3,3
3.663019,3,3
3.674082,3,3
3.685184,3,3
3.696218,3,3
3.707394,3,3
3.718428,3,3
3.729656,3,3
3.740702,3,3
3.755188,3,3
3.762812,3,3
3.773998,3,3
3.785566,3,3
3.79616,3,3
3.807337,3,3
3.818787,3,3
3.829548,3,3
3.840935,3,3
3.852093,3,3
3.863237,3,3
3.874622,3,3
3.88591,3,3
3.897238,3,3
3.90851,3,3
3.919804,3,3
3.931011,3,3
3.942453,3,3
3.953451,3,3
3.964687,3,3
3.976021,3,3
3.987391,3,3
3.998564,3,3
4.009672,3,3
4.02088,3,3
4.031721,3,3
4.042894,3,3
4.054121,3,3
4.06518,3,3
4.07659,3,3
4.087337,3,3
4.098616,3,3
4.109552,3,3
4.120607,3,3
4.131752,3,3
4.142792,3,3
4.153923,3,3
4.165102,3,3
4.176266,3,3
4.187605,3,3
4.198248,3,3
4.209501,3,3
4.2211,3,3
4.23159,3,3
4.243055,3,3
4.253986,3,3
4.265079,3,3
4.27634,3,3
4.287243,3,3
4.298374,3,3
4.30957,3,3
4.320847,3,3
4.331638,3,3
4.342945,3,3
4.353825,3,3
4.365063,3,3
4.376461,3,3
4.387156,3,3
4.398252,3,3
4.409525,3,3
4.420551,3,3
4.431543,3,3
4.442921,3,3
4.453882,3,3
4.464891,3,3
4.476458,3,3
4.48731,3,3
4.49873,3,3
4.509413,3,3
4.520456,3,3
4.531719,3,3
4.542521,3,3
4.553835,3,3
4.564863,3,3
4.576067,3,3
4.587208,3,3
4.598097,3,3
4.609316,3,3
4.620489,3,3
4.631353,3,3
4.642649,3,3
4.653687,3,3
4.664787,3,3
4.675941,3,3
4.687166,3,3
4.698267,3,3
4.709158,3,3
4.720589,3,3
4.731478,3,3
4.742527,3,3
4.753695,3,3
4.779308,3,3
4.784395,3,3
4.788584,3,3
4.792894,3,3
4.804111,3,3
4.815235,3,3
4.826471,3,3
4.837521,3,3
4.848566,3,3
4.859804,3,3
4.870911,3,3
4.882072,3,3
4.893202,3,3
4.904028,3,3
4.915195,3,3
4.92643,3,3
4.937525,3,3
4.94866,3,3
4.959774,3,3
4.970875,3,3
4.981932,3,3
4.992954,3,3
5.004099,3,3
5.015213,3,3
5.026449,3,3
5.041559,3,3
5.051573,3,3
5.063074,3,3
5.07115,3,3
5.082127,3,3
5.093042,3,3
5.104078,3,3
5.115341,3,3
5.126415,3,3
5.137415,3,3
5.148376,3,3
5.159586,3,3
5.170883,3,3
5.181784,3,3
5.193214,3,3
5.204744,3,3
5.216072,3,3
5.227329,3,3
5.238764,3,3
5.25013,3,3
5.261551,3,3
5.27301,3,3
5.284399,3,3
5.295828,3,3
5.307585,3,3
5.318924,3,3
5.330114,3,3
5.341469,3,3
5.352919,3,3
5.364126,3,3
5.375233,3,3
5.386703,3,3
5.398098,3,3
5.409098,3,3
5.420282,3,3
5.43133,3,3
5.442371,3,3
5.453587,3,3
5.46479,3,3
5.475859,3,3
5.486874,3,3
5.497948,3,3
5.508991,3,3
5.520262,3,3
5.531078,3,3
5.542749,3,3
5.553354,3,3
5.564587,3,3
5.575689,3,3
5.586967,3,3
