X,Y,Z,trialNumber,phaseNumber
-0.01799989,0.9581255,0.586,1,3
-0.01799989,0.9557033,0.586,1,3
-0.01799989,0.9520699,0.586,1,3
-0.01799989,0.9472255,0.586,1,3
-0.01799989,0.94117,0.586,1,3
-0.01799724,0.9341156,0.586,1,3
-0.01790974,0.9327036,0.586,1,3
-0.01779339,0.93242,0.586,1,3
-0.01765922,0.9323619,0.586,1,3
-0.01750982,0.9323488,0.586,1,3
-0.0173454,0.9323446,0.586,1,3
-0.01716596,0.9323418,0.586,1,3
-0.01697195,0.9323396,0.586,1,3
-0.01676369,0.9323373,0.586,1,3
-0.01654151,0.932335,0.586,1,3
-0.01630583,0.9323328,0.586,1,3
-0.01605701,0.9323306,0.586,1,3
-0.01579547,0.9323285,0.586,1,3
-0.01523525,0.9323233,0.586,1,3
-0.01493725,0.9323218,0.586,1,3
-0.0146279,0.9323197,0.586,1,3
-0.01430747,0.9323175,0.586,1,3
-0.01397607,0.9323149,0.586,1,3
-0.01363349,0.9323114,0.586,1,3
-0.01327983,0.9323083,0.586,1,3
-0.01291516,0.9323053,0.586,1,3
-0.01253951,0.9323018,0.586,1,3
-0.01215261,0.9322975,0.586,1,3
-0.01175469,0.9322947,0.586,1,3
-0.01134583,0.9322912,0.586,1,3
-0.01092607,0.9322878,0.586,1,3
-0.01049536,0.9322838,0.586,1,3
-0.01005349,0.9322783,0.586,1,3
-0.009600163,0.9322727,0.586,1,3
-0.009135008,0.9322652,0.586,1,3
-0.008657187,0.9322554,0.586,1,3
-0.008166462,0.9322476,0.586,1,3
-0.007662475,0.9322392,0.586,1,3
-0.007144988,0.9322313,0.586,1,3
-0.006613404,0.9322203,0.586,1,3
-0.006066948,0.9322069,0.586,1,3
-0.005504429,0.9321886,0.586,1,3
-0.004924715,0.9321693,0.586,1,3
-0.004327059,0.9321521,0.586,1,3
-0.003710449,0.9321316,0.586,1,3
-0.003074169,0.9321129,0.586,1,3
-0.002417624,0.9320942,0.586,1,3
-0.001739919,0.9320708,0.586,1,3
-0.001039982,0.9320452,0.586,1,3
-0.0003169179,0.9320182,0.586,1,3
0.000430584,0.9319852,0.586,1,3
0.001203984,0.9319473,0.586,1,3
0.002004683,0.9319083,0.586,1,3
0.002834111,0.9318652,0.586,1,3
0.00369364,0.9318221,0.586,1,3
0.004584372,0.9317786,0.586,1,3
0.005507201,0.9317386,0.586,1,3
0.006462723,0.9317006,0.586,1,3
0.007451385,0.9316625,0.586,1,3
0.008473694,0.9316235,0.586,1,3
0.009529948,0.9315886,0.586,1,3
0.009529948,0.9315886,0.586,1,3
