X,Y,Z,trialNumber,phaseNumber
-0.2299216,0.9247106,0.5854,1,3
-0.2299214,0.9247152,0.5854,1,3
-0.2299234,0.9246585,0.5854,1,3
-0.2299235,0.9246544,0.5854,1,3
-0.2299258,0.9245886,0.5854,1,3
-0.2299268,0.9245595,0.5854,1,3
-0.2299271,0.9245499,0.5854,1,3
-0.2299266,0.924564,0.5854,1,3
-0.2299285,0.9245071,0.5854,1,3
-0.2299271,0.924549,0.5854,1,3
-0.2299268,0.9245585,0.5854,1,3
-0.2299293,0.9244846,0.5854,1,3
-0.2299313,0.9244255,0.5854,1,3
-0.2299329,0.9243752,0.5854,1,3
-0.2299354,0.9243011,0.5854,1,3
-0.2299376,0.9242342,0.5854,1,3
-0.22994,0.924159,0.5854,1,3
-0.2299417,0.9241056,0.5854,1,3
-0.2299458,0.9239774,0.5854,1,3
-0.2299474,0.9239233,0.5854,1,3
-0.2299489,0.9238771,0.5854,1,3
-0.2299495,0.9238565,0.5854,1,3
-0.2299484,0.923891,0.5854,1,3
-0.2299488,0.9238782,0.5854,1,3
-0.2299495,0.9238567,0.5854,1,3
-0.2299491,0.923868,0.5854,1,3
-0.2299482,0.9238998,0.5854,1,3
-0.2299494,0.9238595,0.5854,1,3
-0.2299495,0.9238575,0.5854,1,3
-0.2299499,0.9238438,0.5854,1,3
-0.2299498,0.9238474,0.5854,1,3
-0.2299483,0.9238971,0.5854,1,3
-0.2299471,0.9239347,0.5854,1,3
-0.2299445,0.9240178,0.5854,1,3
-0.2299403,0.924149,0.5854,1,3
-0.2299389,0.9241936,0.5854,1,3
-0.2299368,0.9242582,0.5854,1,3
-0.2299355,0.9242989,0.5854,1,3
-0.2299319,0.9244068,0.5854,1,3
-0.2299273,0.9245443,0.5854,1,3
-0.2299199,0.9247578,0.5854,1,3
-0.2299132,0.9249479,0.5854,1,3
-0.2299086,0.9250754,0.5854,1,3
-0.2299019,0.9252557,0.5854,1,3
-0.2298975,0.9253738,0.5854,1,3
-0.2298934,0.9254823,0.5854,1,3
-0.2298867,0.9256544,0.5854,1,3
