X,Y,Z,trialNumber,phaseNumber
0.1396758,0.9152867,0.5732,1,3
0.1396758,0.9152833,0.5732,1,3
0.1396763,0.9153254,0.5732,1,3
0.1396764,0.9153285,0.5732,1,3
0.139677,0.9153774,0.5732,1,3
0.1396772,0.9153991,0.5732,1,3
0.1396773,0.9154062,0.5732,1,3
0.1396772,0.9153957,0.5732,1,3
0.1396777,0.9154381,0.5732,1,3
0.1396773,0.9154069,0.5732,1,3
0.1396773,0.9153998,0.5732,1,3
0.1396779,0.9154548,0.5732,1,3
0.1396784,0.9154987,0.5732,1,3
0.1396789,0.9155363,0.5732,1,3
0.1396795,0.9155914,0.5732,1,3
0.1396801,0.9156411,0.5732,1,3
0.1396807,0.9156971,0.5732,1,3
0.1396811,0.9157367,0.5732,1,3
0.139682,0.9158322,0.5732,1,3
0.1396824,0.9158725,0.5732,1,3
0.1396827,0.9159068,0.5732,1,3
0.1396829,0.9159221,0.5732,1,3
0.1396826,0.9158964,0.5732,1,3
0.1396827,0.915906,0.5732,1,3
0.1396828,0.9159219,0.5732,1,3
0.1396828,0.9159136,0.5732,1,3
0.1396826,0.9158899,0.5732,1,3
0.1396828,0.9159199,0.5732,1,3
0.1396828,0.9159213,0.5732,1,3
0.1396829,0.9159316,0.5732,1,3
0.1396829,0.9159288,0.5732,1,3
0.1396826,0.9158919,0.5732,1,3
0.1396823,0.9158639,0.5732,1,3
0.1396817,0.9158021,0.5732,1,3
0.1396807,0.9157045,0.5732,1,3
0.1396804,0.9156712,0.5732,1,3
0.1396798,0.9156232,0.5732,1,3
0.1396795,0.915593,0.5732,1,3
0.1396786,0.9155127,0.5732,1,3
0.1396774,0.9154104,0.5732,1,3
0.1396753,0.9152515,0.5732,1,3
0.1396734,0.9151101,0.5732,1,3
0.139672,0.9150152,0.5732,1,3
0.13967,0.9148811,0.5732,1,3
0.1396686,0.9147933,0.5732,1,3
0.1396673,0.9147125,0.5732,1,3
0.1396651,0.9145845,0.5732,1,3
0.1396627,0.9144557,0.5732,1,3
0.1396604,0.9143305,0.5732,1,3
0.139657,0.9141583,0.5732,1,3
0.139653,0.9139655,0.5732,1,3
0.1396492,0.9137918,0.5732,1,3
0.1396447,0.9135996,0.5732,1,3
0.1396407,0.9134356,0.5732,1,3
0.1396369,0.9132853,0.5732,1,3
0.1396343,0.9131838,0.5732,1,3
0.1396322,0.9131061,0.5732,1,3
0.1396303,0.9130355,0.5732,1,3
0.1396285,0.9129697,0.5732,1,3
0.1396278,0.9129454,0.5732,1,3
0.139627,0.9129179,0.5732,1,3
0.139627,0.9129179,0.5732,1,3
0.1396268,0.9129107,0.5732,1,3
0.1396266,0.9129015,0.5732,1,3
0.1396266,0.9129051,0.5732,1,3
0.1396275,0.9129357,0.5732,1,3
0.1396294,0.9130049,0.5732,1,3
0.1396319,0.9130961,0.5732,1,3
0.1396356,0.9132352,0.5732,1,3
0.1396399,0.9134022,0.5732,1,3
0.1396435,0.9135504,0.5732,1,3
0.1396464,0.9136728,0.5732,1,3
0.1396497,0.913818,0.5732,1,3
0.1396523,0.913931,0.5732,1,3
0.1396544,0.914031,0.5732,1,3
0.1396573,0.9141732,0.5732,1,3
0.1396598,0.9142972,0.5732,1,3
0.1396623,0.9144323,0.5732,1,3
0.1396646,0.9145624,0.5732,1,3
0.1396665,0.9146694,0.5732,1,3
0.1396677,0.9147369,0.5732,1,3
0.1396688,0.9148044,0.5732,1,3
0.1396694,0.9148438,0.5732,1,3
0.1396691,0.914822,0.5732,1,3
0.1396694,0.9148425,0.5732,1,3
0.1396692,0.9148329,0.5732,1,3
0.13967,0.9148798,0.5732,1,3
0.1396703,0.9148995,0.5732,1,3
0.1396717,0.9149971,0.5732,1,3
0.1396731,0.9150857,0.5732,1,3
0.1396737,0.9151303,0.5732,1,3
0.1396742,0.9151663,0.5732,1,3
0.1396745,0.9151898,0.5732,1,3
0.139675,0.9152212,0.5732,1,3
0.139676,0.9153,0.5732,1,3
0.1396765,0.9153416,0.5732,1,3
0.1396769,0.9153721,0.5732,1,3
0.1396787,0.9155156,0.5732,1,3
0.1396787,0.9155156,0.5732,1,3
0.13968,0.9156379,0.5732,1,3
0.1396815,0.9157782,0.5732,1,3
0.1396829,0.915922,0.5732,1,3
0.1396844,0.9161046,0.5732,1,3
0.1396859,0.9163096,0.5732,1,3
0.1396869,0.9164818,0.5732,1,3
0.1396876,0.9166166,0.5732,1,3
0.1396884,0.916798,0.5732,1,3
0.1396888,0.9169331,0.5732,1,3
0.1396892,0.9171554,0.5732,1,3
0.1396893,0.9173589,0.5732,1,3
0.1396892,0.9175512,0.5732,1,3
0.1396889,0.9176995,0.5732,1,3
0.1396886,0.9178456,0.5732,1,3
0.1396881,0.9179664,0.5732,1,3
0.1396877,0.918062,0.5732,1,3
0.1396873,0.9181563,0.5732,1,3
0.1396869,0.9182259,0.5732,1,3
0.1396865,0.9182886,0.5732,1,3
0.1396862,0.9183463,0.5732,1,3
0.1396857,0.9184192,0.5732,1,3
0.1396852,0.9184981,0.5732,1,3
0.1396847,0.9185638,0.5732,1,3
0.1396844,0.9185935,0.5732,1,3
0.1396842,0.9186264,0.5732,1,3
0.139684,0.9186451,0.5732,1,3
0.1396837,0.9186882,0.5732,1,3
0.1396835,0.9187098,0.5732,1,3
0.1396831,0.9187499,0.5732,1,3
0.1396831,0.9187468,0.5732,1,3
0.1396833,0.9187278,0.5732,1,3
0.1396832,0.9187359,0.5732,1,3
0.139683,0.9187662,0.5732,1,3
0.1396827,0.9187944,0.5732,1,3
0.1396824,0.9188248,0.5732,1,3
0.1396824,0.9188248,0.5732,1,3
0.1396825,0.9188167,0.5732,1,3
0.1396827,0.9187992,0.5732,1,3
0.1396827,0.9188007,0.5732,1,3
0.1396823,0.9188389,0.5732,1,3
0.139682,0.9188703,0.5732,1,3
0.1396821,0.9188671,0.5732,1,3
0.139682,0.9188749,0.5732,1,3
0.1396817,0.9189012,0.5732,1,3
0.1396818,0.9188869,0.5732,1,3
0.1396818,0.9188938,0.5732,1,3
0.1396819,0.9188784,0.5732,1,3
0.1396819,0.9188756,0.5732,1,3
0.1396823,0.9188365,0.5732,1,3
0.1396827,0.9187962,0.5732,1,3
0.1396829,0.9187725,0.5732,1,3
0.1396835,0.9187082,0.5732,1,3
0.1396839,0.9186549,0.5732,1,3
0.1396843,0.9186118,0.5732,1,3
0.1396848,0.91855,0.5732,1,3
0.1396858,0.9183995,0.5732,1,3
0.1396868,0.9182479,0.5732,1,3
0.1396875,0.9181033,0.5732,1,3
0.1396881,0.9179635,0.5732,1,3
0.1396885,0.9178641,0.5732,1,3
0.1396888,0.9177334,0.5732,1,3
0.139689,0.9176525,0.5732,1,3
0.1396893,0.9174871,0.5732,1,3
0.1396893,0.9173131,0.5732,1,3
0.1396892,0.9171791,0.5732,1,3
0.139689,0.9170482,0.5732,1,3
0.1396888,0.9169276,0.5732,1,3
0.1396884,0.9168099,0.5732,1,3
0.139688,0.9167086,0.5732,1,3
0.1396877,0.9166433,0.5732,1,3
0.1396876,0.9166117,0.5732,1,3
0.1396874,0.9165827,0.5732,1,3
0.1396875,0.916599,0.5732,1,3
0.1396876,0.9166121,0.5732,1,3
0.1396877,0.9166274,0.5732,1,3
0.1396877,0.9166315,0.5732,1,3
0.1396878,0.916662,0.5732,1,3
0.1396883,0.9167703,0.5732,1,3
0.1396885,0.9168477,0.5732,1,3
0.139689,0.917011,0.5732,1,3
0.139689,0.917011,0.5732,1,3
0.1396893,0.9172071,0.5732,1,3
0.1396893,0.9175097,0.5732,1,3
0.139689,0.9176596,0.5732,1,3
0.1396885,0.9178743,0.5732,1,3
0.1396876,0.9180913,0.5732,1,3
0.1396862,0.9183485,0.5732,1,3
0.1396845,0.9185814,0.5732,1,3
0.1396823,0.9188435,0.5732,1,3
0.1396798,0.919084,0.5732,1,3
0.1396768,0.9193389,0.5732,1,3
0.1396737,0.9195752,0.5732,1,3
0.1396701,0.9198101,0.5732,1,3
0.1396659,0.9200699,0.5732,1,3
0.1396611,0.9203365,0.5732,1,3
0.1396553,0.9206271,0.5732,1,3
0.1396497,0.9208866,0.5732,1,3
0.1396434,0.9211557,0.5732,1,3
0.1396376,0.9213871,0.5732,1,3
0.1396317,0.9216125,0.5732,1,3
0.1396249,0.9218582,0.5732,1,3
0.1396173,0.922117,0.5732,1,3
0.1396098,0.9223597,0.5732,1,3
0.1396023,0.9225891,0.5732,1,3
0.1395936,0.9228439,0.5732,1,3
0.1395887,0.9229831,0.5732,1,3
0.1395844,0.9231026,0.5732,1,3
0.139579,0.9232486,0.5732,1,3
0.1395746,0.9233634,0.5732,1,3
0.1395746,0.9233634,0.5732,1,3
0.1395672,0.9235562,0.5732,1,3
0.1395625,0.9236733,0.5732,1,3
0.1395573,0.9238017,0.5732,1,3
0.1395556,0.9238434,0.5732,1,3
0.1395538,0.9238862,0.5732,1,3
0.1395534,0.9238974,0.5732,1,3
0.1395538,0.9238884,0.5732,1,3
0.1395538,0.9238884,0.5732,1,3
0.139555,0.9238578,0.5732,1,3
0.1395553,0.9238502,0.5732,1,3
0.1395572,0.9238039,0.5732,1,3
0.1395572,0.9238039,0.5732,1,3
0.1395597,0.9237428,0.5732,1,3
0.1395622,0.9236803,0.5732,1,3
0.1395632,0.9236562,0.5732,1,3
0.1395632,0.9236562,0.5732,1,3
0.1395639,0.92364,0.5732,1,3
0.1395653,0.9236047,0.5732,1,3
0.139567,0.9235604,0.5732,1,3
0.1395686,0.9235204,0.5732,1,3
0.1395686,0.9235204,0.5732,1,3
0.1395714,0.9234469,0.5732,1,3
0.1395743,0.9233732,0.5732,1,3
0.1395742,0.923375,0.5732,1,3
0.1395742,0.923375,0.5732,1,3
0.1395739,0.9233833,0.5732,1,3
0.139574,0.9233815,0.5732,1,3
0.1395746,0.9233648,0.5732,1,3
0.1395758,0.9233339,0.5732,1,3
0.1395734,0.9233962,0.5732,1,3
0.1395738,0.9233863,0.5732,1,3
0.1395731,0.9234042,0.5732,1,3
0.1395731,0.9234039,0.5732,1,3
0.1395686,0.9235198,0.5732,1,3
0.1395675,0.9235491,0.5732,1,3
0.1395671,0.9235582,0.5732,1,3
0.1395683,0.9235288,0.5732,1,3
0.1395697,0.9234912,0.5732,1,3
0.1395725,0.92342,0.5732,1,3
0.1395741,0.9233787,0.5732,1,3
0.1395748,0.9233611,0.5732,1,3
0.1395759,0.9233301,0.5732,1,3
0.1395754,0.9233443,0.5732,1,3
0.1395782,0.9232709,0.5732,1,3
0.1395781,0.9232714,0.5732,1,3
0.1395798,0.9232259,0.5732,1,3
0.1395817,0.9231763,0.5732,1,3
0.1395829,0.9231436,0.5732,1,3
0.1395854,0.923076,0.5732,1,3
0.1395868,0.9230369,0.5732,1,3
0.1395892,0.9229704,0.5732,1,3
0.1395907,0.9229284,0.5732,1,3
0.1395907,0.9229284,0.5732,1,3
0.1395922,0.9228847,0.5732,1,3
0.139596,0.9227742,0.5732,1,3
0.1395977,0.9227266,0.5732,1,3
0.1396002,0.922651,0.5732,1,3
0.1396002,0.922651,0.5732,1,3
0.1396036,0.9225494,0.5732,1,3
0.139606,0.9224771,0.5732,1,3
0.1396084,0.9224023,0.5732,1,3
0.139612,0.9222881,0.5732,1,3
0.1396114,0.9223068,0.5732,1,3
0.1396111,0.9223167,0.5732,1,3
0.1396115,0.9223047,0.5732,1,3
0.1396124,0.9222754,0.5732,1,3
0.1396139,0.922229,0.5732,1,3
0.1396139,0.9222268,0.5732,1,3
0.1396152,0.9221841,0.5732,1,3
0.1396171,0.9221234,0.5732,1,3
0.1396181,0.922091,0.5732,1,3
0.1396185,0.9220774,0.5732,1,3
0.1396183,0.9220822,0.5732,1,3
0.1396195,0.9220433,0.5732,1,3
0.1396216,0.9219741,0.5732,1,3
0.1396231,0.9219212,0.5732,1,3
0.1396248,0.9218601,0.5732,1,3
0.1396266,0.9218001,0.5732,1,3
0.139627,0.9217833,0.5732,1,3
0.1396277,0.92176,0.5732,1,3
0.1396298,0.9216812,0.5732,1,3
0.1396324,0.9215884,0.5732,1,3
0.1396349,0.9214921,0.5732,1,3
0.1396376,0.9213873,0.5732,1,3
0.13964,0.9212928,0.5732,1,3
0.1396424,0.9211971,0.5732,1,3
0.139646,0.9210472,0.5732,1,3
0.1396472,0.9209971,0.5732,1,3
0.13965,0.9208744,0.5732,1,3
0.1396513,0.9208124,0.5732,1,3
0.1396527,0.9207513,0.5732,1,3
0.1396554,0.9206218,0.5732,1,3
0.1396587,0.9204563,0.5732,1,3
0.1396615,0.920314,0.5732,1,3
0.1396647,0.9201366,0.5732,1,3
0.1396678,0.9199542,0.5732,1,3
0.1396701,0.9198117,0.5732,1,3
0.1396723,0.9196649,0.5732,1,3
0.1396742,0.9195375,0.5732,1,3
0.1396761,0.9193919,0.5732,1,3
0.139678,0.9192429,0.5732,1,3
0.1396793,0.9191319,0.5732,1,3
0.1396809,0.9189776,0.5732,1,3
0.1396825,0.9188147,0.5732,1,3
0.1396838,0.9186772,0.5732,1,3
0.1396844,0.9185968,0.5732,1,3
0.1396853,0.918479,0.5732,1,3
0.139686,0.918376,0.5732,1,3
0.1396868,0.9182444,0.5732,1,3
0.1396874,0.9181337,0.5732,1,3
0.1396877,0.9180806,0.5732,1,3
0.1396878,0.9180545,0.5732,1,3
0.1396877,0.9180623,0.5732,1,3
0.1396876,0.9180872,0.5732,1,3
0.1396875,0.9180977,0.5732,1,3
0.1396877,0.9180614,0.5732,1,3
0.1396877,0.9180607,0.5732,1,3
0.1396875,0.9181187,0.5732,1,3
0.1396871,0.9181871,0.5732,1,3
0.1396869,0.9182353,0.5732,1,3
0.1396868,0.9182507,0.5732,1,3
0.1396866,0.9182734,0.5732,1,3
