X,Y,Z,trialNumber,phaseNumber
0.230042,0.9189163,0.5854,1,3
0.230042,0.918911,0.5854,1,3
0.2300416,0.9189774,0.5854,1,3
0.2300416,0.9189821,0.5854,1,3
0.2300411,0.9190592,0.5854,1,3
0.2300408,0.9190933,0.5854,1,3
0.2300408,0.9191045,0.5854,1,3
0.2300409,0.919088,0.5854,1,3
0.2300404,0.9191545,0.5854,1,3
0.2300407,0.9191055,0.5854,1,3
0.2300408,0.9190943,0.5854,1,3
0.2300403,0.9191809,0.5854,1,3
0.2300397,0.91925,0.5854,1,3
0.2300392,0.919309,0.5854,1,3
0.2300386,0.9193957,0.5854,1,3
0.2300379,0.919474,0.5854,1,3
0.2300372,0.919562,0.5854,1,3
0.2300366,0.9196244,0.5854,1,3
0.2300351,0.9197745,0.5854,1,3
0.2300345,0.9198379,0.5854,1,3
0.2300339,0.919892,0.5854,1,3
0.2300337,0.919916,0.5854,1,3
0.2300341,0.9198756,0.5854,1,3
0.2300339,0.9198906,0.5854,1,3
0.2300337,0.9199157,0.5854,1,3
0.2300339,0.9199026,0.5854,1,3
0.2300342,0.9198653,0.5854,1,3
0.2300338,0.9199125,0.5854,1,3
0.2300337,0.9199148,0.5854,1,3
0.2300336,0.9199308,0.5854,1,3
0.2300336,0.9199266,0.5854,1,3
0.2300342,0.9198685,0.5854,1,3
0.2300346,0.9198245,0.5854,1,3
0.2300356,0.9197272,0.5854,1,3
0.230037,0.9195737,0.5854,1,3
0.2300375,0.9195215,0.5854,1,3
0.2300381,0.9194459,0.5854,1,3
0.2300385,0.9193983,0.5854,1,3
0.2300395,0.9192719,0.5854,1,3
0.2300407,0.9191111,0.5854,1,3
0.2300424,0.9188611,0.5854,1,3
0.2300436,0.9186386,0.5854,1,3
0.2300444,0.9184894,0.5854,1,3
0.2300453,0.9182784,0.5854,1,3
0.2300457,0.9181402,0.5854,1,3
0.2300461,0.9180132,0.5854,1,3
0.2300466,0.9178117,0.5854,1,3
0.2300468,0.9176091,0.5854,1,3
0.230047,0.9174123,0.5854,1,3
