X,Y,Z,trialNumber,phaseNumber
-0.01319835,0.9220884,0.586,1,3
-0.008578598,0.9220278,0.586,1,3
-0.003974885,0.9219711,0.586,1,3
0.0005607903,0.9219132,0.586,1,3
0.005320758,0.9218594,0.586,1,3
0.009863436,0.9218063,0.586,1,3
0.01433414,0.9217525,0.586,1,3
0.01908481,0.9216914,0.586,1,3
0.0237847,0.9216443,0.586,1,3
0.02806345,0.9215834,0.586,1,3
0.03267413,0.9215242,0.586,1,3
0.03723568,0.921487,0.586,1,3
0.04178238,0.921449,0.586,1,3
0.0464617,0.9214094,0.586,1,3
0.05099738,0.9213812,0.586,1,3
0.05561602,0.9213529,0.586,1,3
0.06018659,0.9213311,0.586,1,3
0.06475821,0.921304,0.586,1,3
0.069967,0.9213039,0.586,1,3
0.07384241,0.92129,0.586,1,3
0.07845309,0.9212677,0.586,1,3
0.08298659,0.921236,0.586,1,3
0.08740622,0.9211788,0.586,1,3
0.09194601,0.9211436,0.586,1,3
0.09660375,0.9211125,0.586,1,3
0.1008818,0.9210675,0.586,1,3
0.1052893,0.9210088,0.586,1,3
0.1097652,0.9209916,0.586,1,3
0.1141127,0.9209534,0.586,1,3
0.1184564,0.9209228,0.586,1,3
0.1230844,0.9208788,0.586,1,3
0.1271513,0.9208081,0.586,1,3
0.1314655,0.9207417,0.586,1,3
0.1359807,0.9206387,0.586,1,3
0.1398228,0.9205033,0.586,1,3
0.143981,0.9204258,0.586,1,3
0.1482421,0.9203297,0.586,1,3
0.152348,0.9202521,0.586,1,3
0.1566167,0.9201156,0.586,1,3
0.1607716,0.9199512,0.586,1,3
0.164864,0.9197166,0.586,1,3
0.1689197,0.9194949,0.586,1,3
0.1730856,0.9193208,0.586,1,3
0.1773944,0.9190907,0.586,1,3
0.1809846,0.9189236,0.586,1,3
0.1851838,0.9187515,0.586,1,3
0.1891575,0.9185168,0.586,1,3
0.1929477,0.918278,0.586,1,3
0.19696,0.9180337,0.586,1,3
0.2011395,0.9177142,0.586,1,3
0.2045575,0.9173728,0.586,1,3
0.2083463,0.9170421,0.586,1,3
0.2121403,0.9166759,0.586,1,3
0.2159629,0.9163415,0.586,1,3
0.2195933,0.9160246,0.586,1,3
0.2232718,0.9157746,0.586,1,3
0.2268701,0.9155587,0.586,1,3
0.2305521,0.9153481,0.586,1,3
0.2341813,0.9151436,0.586,1,3
0.2392265,0.9149636,0.586,1,3
0.2411863,0.9148636,0.586,1,3
0.2437963,0.9147902,0.586,1,3
0.2473533,0.914678,0.586,1,3
0.2510885,0.9145572,0.586,1,3
0.2541203,0.9144778,0.586,1,3
0.257453,0.9144374,0.586,1,3
0.2610309,0.9144596,0.586,1,3
0.264086,0.9145385,0.586,1,3
0.2673382,0.9147027,0.586,1,3
0.2706743,0.9149215,0.586,1,3
0.2737375,0.915119,0.586,1,3
0.2768631,0.9152727,0.586,1,3
0.2802374,0.9154688,0.586,1,3
0.2829809,0.9156229,0.586,1,3
0.2860071,0.9157501,0.586,1,3
0.288996,0.9159643,0.586,1,3
0.2919359,0.9161488,0.586,1,3
0.2948955,0.9163594,0.586,1,3
0.2976926,0.9165683,0.586,1,3
0.3004548,0.9167355,0.586,1,3
